iter	Passed	Remaining
0	7	5234
1	13	4782
2	19	4629
3	26	4585
4	32	4562
5	39	4524
6	45	4497
7	51	4480
8	58	4480
9	64	4462
10	71	4450
11	77	4448
12	84	4441
13	90	4427
14	96	4420
15	103	4409
16	109	4398
17	115	4390
18	122	4383
19	128	4375
20	135	4369
21	141	4360
22	147	4353
23	154	4344
24	160	4339
25	167	4330
26	173	4321
27	179	4313
28	186	4307
29	192	4302
30	199	4295
31	205	4287
32	211	4280
33	218	4273
34	224	4266
35	230	4259
36	237	4250
37	243	4244
38	249	4236
39	256	4231
40	263	4233
41	269	4228
42	276	4222
43	282	4216
44	289	4209
45	295	4201
46	301	4195
47	308	4189
48	315	4189
49	321	4185
50	328	4177
51	334	4172
52	341	4165
53	347	4159
54	354	4152
55	360	4145
56	366	4138
57	373	4132
58	379	4125
59	386	4117
60	392	4110
61	398	4102
62	405	4096
63	411	4089
64	417	4082
65	424	4075
66	430	4068
67	437	4061
68	443	4055
69	449	4047
70	456	4041
71	462	4034
72	468	4028
73	475	4021
74	481	4015
75	488	4008
76	494	4001
77	500	3994
78	507	3988
79	514	3986
80	520	3981
81	527	3974
82	534	3971
83	541	3968
84	547	3961
85	554	3955
86	560	3949
87	567	3943
88	573	3937
89	579	3930
90	586	3924
91	592	3917
92	599	3910
93	606	3907
94	612	3901
95	619	3895
96	625	3887
97	631	3881
98	638	3875
99	644	3867
100	651	3861
101	657	3854
102	663	3847
103	670	3839
104	676	3832
105	682	3825
106	689	3819
107	695	3812
108	701	3805
109	708	3798
110	714	3792
111	721	3785
112	727	3778
113	733	3771
114	740	3764
115	746	3758
116	753	3756
117	760	3749
118	766	3743
119	773	3740
120	780	3734
121	786	3727
122	793	3721
123	799	3714
124	806	3711
125	813	3705
126	820	3700
127	827	3699
128	834	3692
129	841	3687
130	847	3681
131	854	3678
132	861	3673
133	868	3669
134	875	3662
135	881	3655
136	887	3648
137	894	3641
138	901	3638
139	907	3631
140	914	3624
141	921	3620
142	928	3615
143	934	3607
144	940	3601
145	947	3594
146	953	3587
147	960	3580
148	966	3575
